test	duration_ms	status
bridge::tests::replay_harness_with_real_defender	53910	pass
bridge::tests::multi_session_soak_preserves_per_session_fifo_without_duplicates	2417	pass
bridge::tests::followup_queue_pressure_preserves_order_without_duplicates	3029	pass
scheduler::tests::drops_when_pending_capacity_is_exhausted	819	pass
gateway_server::tests::broadcaster_backpressure_drop_if_slow_semantics	811	pass
channels::tests::retry_backoff_policy_scales_and_caps	871	pass
gateway::tests::dispatcher_status_benchmark_emits_latency_profile	2936	pass
gateway::tests::dispatcher_device_pair_store_path_persists_and_recovers_devices_across_dispatchers	845	pass
gateway::tests::dispatcher_node_pair_store_path_persists_and_recovers_pairs_across_dispatchers	822	pass
gateway::tests::dispatcher_voice_runtime_live_capture_stream_advances_frames_without_manual_touch	981	pass
gateway::tests::dispatcher_voice_runtime_live_playback_worker_drains_queue_without_snapshot_calls	3068	pass
security::prompt_guard::tests::scores_prompt_injection_patterns	808	pass
security::command_guard::tests::blocks_known_destructive_patterns	846	pass
security::tests::tool_loop_detection_escalates_warning_then_critical	54048	pass
security::policy_bundle::tests::loads_valid_signed_bundle_and_applies_policy_patch	805	pass
